plz	provider	tarif	price
59558	Adcuri	Top	74,92
59558	Adcuri	Premium	96,08
59558	Allstern	1 Stern	49,53
59558	Allstern	2 Sterne	54,36
59558	Allstern	3 Sterne	69,46
59558	Ammerländer	Basic	30,20
59558	Ammerländer	Economic	39,26
59558	Ammerländer	Comfort	51,34
59558	Ammerländer	Exclusiv	57,38
59558	Ammerländer	Excellent	66,44
59558	ARAG	Basis	95,20
59558	ARAG	Komfort	120,80
59558	ARAG	Premium	155,20
59558	asspario	fair select	56,77
59558	asspario	best select	67,04
59558	asspario	top select	77,91
59558	Baden-Badener	Hausratversicherung	112,52
59558	BarmeniaDirekt	Kompakt-Schutz	54,80
59558	BarmeniaDirekt	Basis-Schutz	57,03
59558	BarmeniaDirekt	Top-Schutz	74,90
59558	BarmeniaDirekt	Premium-Schutz	96,05
59558	BavariaDirekt	Junge Leute	63,57
59558	BavariaDirekt	Einfach Sicher	69,22
59558	BavariaDirekt	Junge Leute Plus	69,22
59558	BGV / Badische Versicherungen	Basis	63,13
59558	BGV / Badische Versicherungen	Klassik	95,23
59558	BGV / Badische Versicherungen	Exklusiv	127,88
59558	DEVK	Komfort	77,28
59558	DEVK	Premium	98,00
59558	die Bayerische	Smart	61,30
59558	die Bayerische	Komfort	72,10
59558	die Bayerische	Prestige	81,80
59558	Die Haftpflichtkasse	Einfach Gut	96,64
59558	Die Haftpflichtkasse	Einfach Besser	114,76
59558	Die Haftpflichtkasse	Einfach Komplett	137,99
59558	DOCURA	SMART	53,15
59558	DOCURA	PROTECT	75,50
59558	ERGO	Hausratversicherung	134,08
59558	ERGO	Premium Hausratversicherung	181,30
59558	Gothaer	Hausrat	66,56
59558	Gothaer	HausratTop	101,56
59558	Gothaer	HausratTop mit PlusDeckung	115,90
59558	Grundeigentümer	Pro Domo Basis	80,93
59558	Grundeigentümer	Pro Domo Kompakt	96,64
59558	Grundeigentümer	Pro Domo Premium	111,88
59558	GVO	VIT Junge Leute	39,32
59558	GVO	TOP-VIT Junge Leute	54,54
59558	HanseMerkur	Grund-Schutz	63,25
59558	HanseMerkur	Kompakt	78,77
59558	HanseMerkur	Top	96,60
59558	Helvetia	Basisschutz	68,69
59558	Helvetia	Komfortschutz	86,90
59558	Inter	Basis	119,59
59558	Inter	Exklusiv	129,86
59558	Interlloyd	Classic	64,02
59558	Interlloyd	ProtectPlus	85,77
59558	Interlloyd	EurosecurePlus	86,42
59558	Janitos	Basic	91,44
59558	Janitos	Balance	94,16
59558	Janitos	BestSelection	119,17
59558	LBN	Gut	56,17
59558	LBN	Gut Plus	59,79
59558	LBN	Besser	71,27
59558	LBN	Besser Plus	81,54
59558	Medien-Versicherung	Klassik	35,63
59558	Medien-Versicherung	Top	42,88
59558	Medien-Versicherung	Premium	52,55
59558	Oberösterreichische	DaHeim	66,64
59558	Oberösterreichische	DaHeim Premium	83,97
59558	Prokundo	Komfort+	66,44
59558	Prokundo	Exklusiv+	88,79
59558	Rhion	Standard	85,77
59558	Rhion	Plus	136,26
59558	Rhion	Premium	148,82
59558	Schleswiger	Klassik	72,48
59558	Schleswiger	Exklusiv	97,84
59558	Signal Iduna	Optimal	93,11
59558	Signal Iduna	Exklusiv	145,44
59558	Syncro	Platinum S	56,17
59558	Syncro	Platinum M	65,83
59558	Syncro	Platinum L	78,52
59558	VHV	Klassik-Garant	86,97
59558	VHV	Exklusiv	111,49
59558	VHV	Exklusiv mit Best-Leistungs-Garantie	128,22
59558	Volkswohl-Bund	Komfort	90,60
59558	Volkswohl-Bund	KomfortPlus	120,80
21493	Adcuri	Top	83,53
21493	Adcuri	Premium	108,02
21493	Allstern	1 Stern	67,65
21493	Allstern	2 Sterne	72,48
21493	Allstern	3 Sterne	90,60
21493	Ammerländer	Basic	27,18
21493	Ammerländer	Economic	36,24
21493	Ammerländer	Comfort	48,32
21493	Ammerländer	Exclusiv	54,36
21493	Ammerländer	Excellent	63,42
21493	ARAG	Basis	111,20
21493	ARAG	Komfort	140,80
21493	ARAG	Premium	180,80
21493	asspario	fair select	70,67
21493	asspario	best select	89,99
21493	asspario	top select	95,43
21493	Baden-Badener	Hausratversicherung	162,03
21493	BarmeniaDirekt	Kompakt-Schutz	61,07
21493	BarmeniaDirekt	Basis-Schutz	63,10
21493	BarmeniaDirekt	Top-Schutz	83,51
21493	BarmeniaDirekt	Premium-Schutz	107,99
21493	BavariaDirekt	Junge Leute	70,38
21493	BavariaDirekt	Einfach Sicher	77,65
21493	BavariaDirekt	Junge Leute Plus	77,65
21493	BGV / Badische Versicherungen	Basis	67,50
21493	BGV / Badische Versicherungen	Klassik	101,83
21493	BGV / Badische Versicherungen	Exklusiv	135,30
21493	DEVK	Komfort	86,80
21493	DEVK	Premium	107,52
21493	die Bayerische	Smart	74,50
21493	die Bayerische	Komfort	87,70
21493	die Bayerische	Prestige	99,40
21493	Die Haftpflichtkasse	Einfach Gut	114,76
21493	Die Haftpflichtkasse	Einfach Besser	138,92
21493	Die Haftpflichtkasse	Einfach Komplett	162,15
21493	DOCURA	SMART	61,61
21493	DOCURA	PROTECT	83,95
21493	ERGO	Hausratversicherung	212,00
21493	ERGO	Premium Hausratversicherung	259,21
21493	Gothaer	Hausrat	85,49
21493	Gothaer	HausratTop	133,12
21493	Gothaer	HausratTop mit PlusDeckung	147,46
21493	Grundeigentümer	Pro Domo Basis	83,35
21493	Grundeigentümer	Pro Domo Kompakt	102,07
21493	Grundeigentümer	Pro Domo Premium	119,03
21493	GVO	VIT Junge Leute	99,78
21493	GVO	TOP-VIT Junge Leute	134,45
21493	HanseMerkur	Grund-Schutz	75,90
21493	HanseMerkur	Kompakt	94,30
21493	HanseMerkur	Top	116,15
21493	Helvetia	Basisschutz	78,57
21493	Helvetia	Komfortschutz	99,39
21493	Inter	Basis	233,14
21493	Inter	Exklusiv	253,67
21493	Interlloyd	Classic	88,79
21493	Interlloyd	ProtectPlus	117,78
21493	Interlloyd	EurosecurePlus	118,94
21493	Janitos	Balance	105,45
21493	Janitos	BestSelection	133,60
21493	LBN	Gut	67,04
21493	LBN	Gut Plus	70,06
21493	LBN	Besser	83,35
21493	LBN	Besser Plus	93,01
21493	Medien-Versicherung	Klassik	51,34
21493	Medien-Versicherung	Top	67,04
21493	Medien-Versicherung	Premium	76,10
21493	Oberösterreichische	DaHeim	94,86
21493	Oberösterreichische	DaHeim Premium	128,58
21493	Prokundo	Komfort+	86,97
21493	Prokundo	Exklusiv+	111,13
21493	Rhion	Standard	74,29
21493	Rhion	Plus	117,90
21493	Rhion	Premium	128,53
21493	Schleswiger	Klassik	84,56
21493	Schleswiger	Exklusiv	102,68
21493	Signal Iduna	Optimal	104,23
21493	Signal Iduna	Exklusiv	162,92
21493	Syncro	Platinum S	56,17
21493	Syncro	Platinum M	65,83
21493	Syncro	Platinum L	78,52
21493	VHV	Klassik-Garant	102,74
21493	VHV	Exklusiv	131,43
21493	VHV	Exklusiv mit Best-Leistungs-Garantie	151,14
21493	Volkswohl-Bund	Komfort	117,78
21493	Volkswohl-Bund	KomfortPlus	151,00
45133	Adcuri	Top	119,54
45133	Adcuri	Premium	153,26
45133	Ammerländer	Basic	36,24
45133	Ammerländer	Economic	45,30
45133	Ammerländer	Comfort	57,38
45133	Ammerländer	Exclusiv	66,44
45133	Ammerländer	Excellent	78,52
45133	ARAG	Basis	128,00
45133	ARAG	Komfort	161,60
45133	ARAG	Premium	208,00
45133	asspario	fair select	70,67
45133	asspario	best select	89,99
45133	asspario	top select	95,43
45133	Baden-Badener	Hausratversicherung	133,55
45133	BarmeniaDirekt	Kompakt-Schutz	76,73
45133	BarmeniaDirekt	Basis-Schutz	95,52
45133	BarmeniaDirekt	Top-Schutz	119,51
45133	BarmeniaDirekt	Premium-Schutz	153,22
45133	BavariaDirekt	Junge Leute	89,75
45133	BavariaDirekt	Einfach Sicher	99,17
45133	BavariaDirekt	Junge Leute Plus	99,17
45133	BGV / Badische Versicherungen	Basis	85,26
45133	BGV / Badische Versicherungen	Klassik	128,62
45133	BGV / Badische Versicherungen	Exklusiv	165,40
45133	DEVK	Komfort	108,08
45133	DEVK	Premium	128,80
45133	die Bayerische	Smart	95,50
45133	die Bayerische	Komfort	112,40
45133	die Bayerische	Prestige	127,40
45133	Die Haftpflichtkasse	Einfach Gut	60,40
45133	Die Haftpflichtkasse	Einfach Komplett	101,75
45133	DOCURA	SMART	53,15
45133	DOCURA	PROTECT	75,50
45133	ERGO	Hausratversicherung	166,70
45133	ERGO	Premium Hausratversicherung	213,91
45133	Gothaer	Hausrat	113,61
45133	Gothaer	HausratTop	164,68
45133	Gothaer	HausratTop mit PlusDeckung	179,02
45133	Grundeigentümer	Pro Domo Basis	99,66
45133	Grundeigentümer	Pro Domo Kompakt	122,61
45133	Grundeigentümer	Pro Domo Premium	143,75
45133	GVO	VIT Junge Leute	47,35
45133	GVO	TOP-VIT Junge Leute	65,11
45133	HanseMerkur	Grund-Schutz	92,57
45133	HanseMerkur	Kompakt	115,57
45133	HanseMerkur	Top	141,45
45133	Helvetia	Basisschutz	100,43
45133	Helvetia	Komfortschutz	126,97
45133	Inter	Basis	191,46
45133	Inter	Exklusiv	208,37
45133	Interlloyd	Classic	88,79
45133	Interlloyd	ProtectPlus	117,78
45133	Interlloyd	EurosecurePlus	118,94
45133	Janitos	Balance	122,91
45133	Janitos	BestSelection	155,83
45133	LBN	Gut	75,50
45133	LBN	Gut Plus	85,77
45133	LBN	Besser	97,84
45133	LBN	Besser Plus	113,55
45133	Medien-Versicherung	Klassik	65,23
45133	Medien-Versicherung	Top	80,93
45133	Medien-Versicherung	Premium	91,80
45133	Medien-Versicherung	Premium+	114,76
45133	Oberösterreichische	DaHeim	116,82
45133	Oberösterreichische	DaHeim Premium	147,39
45133	Prokundo	Komfort+	97,84
45133	Prokundo	Exklusiv+	123,21
45133	Rhion	Standard	100,26
45133	Rhion	Plus	158,48
45133	Rhion	Premium	172,98
45133	Schleswiger	Klassik	102,68
45133	Schleswiger	Exklusiv	126,84
45133	Signal Iduna	Optimal	134,11
45133	Signal Iduna	Exklusiv	209,42
45133	Syncro	Platinum S	41,67
45133	Syncro	Platinum M	44,09
45133	Syncro	Platinum L	59,79
45133	VHV	Klassik-Garant	119,83
45133	VHV	Exklusiv	153,29
45133	VHV	Exklusiv mit Best-Leistungs-Garantie	176,28
45133	Volkswohl-Bund	Komfort	132,88
45133	Volkswohl-Bund	KomfortPlus	166,09
37083	Adcuri	Top	57,62
37083	Adcuri	Premium	76,04
37083	Allstern	1 Stern	49,53
37083	Allstern	2 Sterne	54,36
37083	Allstern	3 Sterne	69,46
37083	Ammerländer	Basic	24,16
37083	Ammerländer	Economic	33,22
37083	Ammerländer	Comfort	45,30
37083	Ammerländer	Exclusiv	51,34
37083	Ammerländer	Excellent	60,40
37083	ARAG	Basis	95,20
37083	ARAG	Komfort	120,80
37083	ARAG	Premium	155,20
37083	asspario	fair select	46,51
37083	asspario	best select	54,36
37083	asspario	top select	64,02
37083	Baden-Badener	Hausratversicherung	112,52
37083	BarmeniaDirekt	Kompakt-Schutz	37,59
37083	BarmeniaDirekt	Basis-Schutz	41,82
37083	BarmeniaDirekt	Top-Schutz	57,60
37083	BarmeniaDirekt	Premium-Schutz	76,02
37083	BavariaDirekt	Junge Leute	43,75
37083	BavariaDirekt	Einfach Sicher	48,05
37083	BavariaDirekt	Junge Leute Plus	48,05
37083	BGV / Badische Versicherungen	Basis	42,46
37083	BGV / Badische Versicherungen	Klassik	64,05
37083	BGV / Badische Versicherungen	Exklusiv	92,84
37083	DEVK	Komfort	64,40
37083	DEVK	Premium	85,12
37083	die Bayerische	Smart	44,90
37083	die Bayerische	Komfort	52,90
37083	Die Haftpflichtkasse	Einfach Gut	60,40
37083	Die Haftpflichtkasse	Einfach Besser	78,52
37083	Die Haftpflichtkasse	Einfach Komplett	101,75
37083	DOCURA	SMART	53,15
37083	DOCURA	PROTECT	75,50
37083	ERGO	Hausratversicherung	134,08
37083	ERGO	Premium Hausratversicherung	181,30
37083	Gothaer	Hausrat	54,51
37083	Gothaer	HausratTop	82,62
37083	Gothaer	HausratTop mit PlusDeckung	96,97
37083	Grundeigentümer	Pro Domo Basis	59,79
37083	Grundeigentümer	Pro Domo Kompakt	72,48
37083	Grundeigentümer	Pro Domo Premium	84,56
37083	GVO	VIT Junge Leute	39,32
37083	GVO	TOP-VIT Junge Leute	54,54
37083	HanseMerkur	Grund-Schutz	52,90
37083	HanseMerkur	Kompakt	66,12
37083	HanseMerkur	Top	81,07
37083	Helvetia	Basisschutz	48,39
37083	Helvetia	Komfortschutz	61,40
37083	Inter	Basis	119,59
37083	Inter	Exklusiv	129,86
37083	Interlloyd	Classic	53,15
37083	Interlloyd	EurosecurePlus	70,62
37083	Interlloyd	ProtectPlus	70,67
37083	Janitos	Basic	73,57
37083	Janitos	Balance	75,80
37083	Janitos	BestSelection	95,67
37083	LBN	Gut	56,17
37083	LBN	Gut Plus	59,79
37083	LBN	Besser	71,27
37083	LBN	Besser Plus	81,54
37083	Medien-Versicherung	Klassik	35,63
37083	Medien-Versicherung	Top	42,88
37083	Medien-Versicherung	Premium	52,55
37083	Medien-Versicherung	Premium+	65,23
37083	Oberösterreichische	DaHeim	55,98
37083	Oberösterreichische	DaHeim Premium	74,64
37083	Ostangler Brandgilde	Check Top Schutz	53,91
37083	Ostangler Brandgilde	Check Fairplay Plus	96,20
37083	Prokundo	Komfort+	66,44
37083	Prokundo	Exklusiv+	88,79
37083	Rhion	Standard	61,61
37083	Rhion	Plus	97,12
37083	Rhion	Premium	106,30
37083	Schleswiger	Klassik	72,48
37083	Schleswiger	Exklusiv	97,84
37083	Signal Iduna	Optimal	93,11
37083	Signal Iduna	Exklusiv	145,44
37083	Syncro	Platinum S	41,67
37083	Syncro	Platinum M	44,09
37083	Syncro	Platinum L	59,79
37083	VHV	Klassik-Garant	65,59
37083	VHV	Exklusiv	83,95
37083	VHV	Exklusiv mit Best-Leistungs-Garantie	96,55
37083	Volkswohl-Bund	Komfort	90,60
37083	Volkswohl-Bund	KomfortPlus	120,80
10997	Adcuri	Top	149,36
10997	Adcuri	Premium	185,67
10997	Allstern	1 Stern	126,84
10997	Allstern	2 Sterne	135,90
10997	Allstern	3 Sterne	144,96
10997	Ammerländer	Basic	54,36
10997	Ammerländer	Economic	63,42
10997	Ammerländer	Comfort	81,54
10997	Ammerländer	Exclusiv	90,60
10997	Ammerländer	Excellent	105,70
10997	ARAG	Basis	144,00
10997	ARAG	Komfort	182,40
10997	ARAG	Premium	234,40
10997	asspario	fair select	83,35
10997	asspario	best select	100,86
10997	asspario	top select	119,59
10997	Baden-Badener	Hausratversicherung	133,55
10997	BarmeniaDirekt	Kompakt-Schutz	87,68
10997	BarmeniaDirekt	Basis-Schutz	104,60
10997	BarmeniaDirekt	Top-Schutz	149,31
10997	BarmeniaDirekt	Premium-Schutz	185,60
10997	BavariaDirekt	Junge Leute	111,54
10997	BavariaDirekt	Einfach Sicher	123,38
10997	BavariaDirekt	Junge Leute Plus	123,38
10997	BGV / Badische Versicherungen	Basis	106,20
10997	BGV / Badische Versicherungen	Klassik	160,22
10997	BGV / Badische Versicherungen	Exklusiv	200,91
10997	DEVK	Komfort	138,32
10997	DEVK	Premium	159,04
10997	die Bayerische	Smart	120,30
10997	die Bayerische	Komfort	141,50
10997	die Bayerische	Prestige	160,50
10997	Die Haftpflichtkasse	Einfach Gut	96,64
10997	Die Haftpflichtkasse	Einfach Komplett	137,99
10997	DOCURA	SMART	73,69
10997	DOCURA	PROTECT	102,07
10997	ERGO	Hausratversicherung	166,70
10997	ERGO	Premium Hausratversicherung	213,91
10997	Gothaer	Hausrat	113,61
10997	Gothaer	HausratTop	164,68
10997	Gothaer	HausratTop mit PlusDeckung	179,02
10997	Grundeigentümer	Pro Domo Basis	119,59
10997	Grundeigentümer	Pro Domo Kompakt	147,37
10997	Grundeigentümer	Pro Domo Premium	172,37
10997	GVO	VIT Junge Leute	99,78
10997	GVO	TOP-VIT Junge Leute	134,45
10997	HanseMerkur	Grund-Schutz	107,52
10997	HanseMerkur	Kompakt	134,55
10997	HanseMerkur	Top	165,02
10997	Helvetia	Basisschutz	125,93
10997	Helvetia	Komfortschutz	158,71
10997	Inter	Basis	233,14
10997	Inter	Exklusiv	253,67
10997	Interlloyd	Classic	104,49
10997	Interlloyd	EurosecurePlus	139,38
10997	Interlloyd	ProtectPlus	139,52
10997	Janitos	Balance	202,69
10997	Janitos	BestSelection	257,66
10997	LBN	Gut	100,86
10997	LBN	Gut Plus	112,34
10997	LBN	Besser	122,61
10997	LBN	Besser Plus	157,03
10997	Medien-Versicherung	Klassik	78,52
10997	Medien-Versicherung	Top	93,01
10997	Medien-Versicherung	Premium	105,09
10997	Medien-Versicherung	Premium+	131,06
10997	Oberösterreichische	DaHeim	137,20
10997	Oberösterreichische	DaHeim Premium	173,26
10997	Prokundo	Komfort+	103,88
10997	Prokundo	Exklusiv+	125,02
10997	Rhion	Standard	117,17
10997	Rhion	Plus	185,06
10997	Rhion	Premium	202,45
10997	Schleswiger	Klassik	108,72
10997	Schleswiger	Exklusiv	132,88
10997	Signal Iduna	Optimal	163,87
10997	Signal Iduna	Exklusiv	255,92
10997	Syncro	Platinum S	72,48
10997	Syncro	Platinum M	79,73
10997	Syncro	Platinum L	93,62
10997	VHV	Klassik-Garant	148,94
10997	VHV	Exklusiv	190,50
10997	VHV	Exklusiv mit Best-Leistungs-Garantie	219,07
10997	Volkswohl-Bund	Komfort	141,94
10997	Volkswohl-Bund	KomfortPlus	169,11
21073	Adcuri	Top	123,00
21073	Adcuri	Premium	156,73
21073	Allstern	1 Stern	126,84
21073	Allstern	2 Sterne	135,90
21073	Allstern	3 Sterne	144,96
21073	Ammerländer	Basic	54,36
21073	Ammerländer	Economic	63,42
21073	Ammerländer	Comfort	81,54
21073	Ammerländer	Exclusiv	90,60
21073	Ammerländer	Excellent	105,70
21073	ARAG	Basis	160,00
21073	ARAG	Komfort	202,40
21073	ARAG	Premium	260,00
21073	asspario	fair select	83,35
21073	asspario	best select	100,86
21073	asspario	top select	119,59
21073	Baden-Badener	Hausratversicherung	180,06
21073	BarmeniaDirekt	Kompakt-Schutz	76,73
21073	BarmeniaDirekt	Basis-Schutz	95,52
21073	BarmeniaDirekt	Top-Schutz	122,98
21073	BarmeniaDirekt	Premium-Schutz	156,69
21073	BavariaDirekt	Junge Leute	89,75
21073	BavariaDirekt	Einfach Sicher	99,17
21073	BavariaDirekt	Junge Leute Plus	99,17
21073	BGV / Badische Versicherungen	Basis	85,26
21073	BGV / Badische Versicherungen	Klassik	128,62
21073	BGV / Badische Versicherungen	Exklusiv	165,40
21073	DEVK	Komfort	108,08
21073	DEVK	Premium	128,80
21073	die Bayerische	Smart	95,50
21073	die Bayerische	Komfort	112,40
21073	die Bayerische	Prestige	127,40
21073	Die Haftpflichtkasse	Einfach Gut	151,00
21073	Die Haftpflichtkasse	Einfach Besser	175,15
21073	Die Haftpflichtkasse	Einfach Komplett	198,38
21073	DOCURA	SMART	89,99
21073	DOCURA	PROTECT	120,80
21073	ERGO	Hausratversicherung	212,00
21073	ERGO	Premium Hausratversicherung	259,21
21073	Gothaer	Hausrat	113,61
21073	Gothaer	HausratTop	164,68
21073	Gothaer	HausratTop mit PlusDeckung	179,02
21073	Grundeigentümer	Pro Domo Basis	99,66
21073	Grundeigentümer	Pro Domo Kompakt	122,61
21073	Grundeigentümer	Pro Domo Premium	143,75
21073	GVO	VIT Junge Leute	99,78
21073	GVO	TOP-VIT Junge Leute	134,45
21073	HanseMerkur	Grund-Schutz	92,57
21073	HanseMerkur	Kompakt	115,57
21073	HanseMerkur	Top	141,45
21073	Helvetia	Basisschutz	100,43
21073	Helvetia	Komfortschutz	126,97
21073	Inter	Basis	233,14
21073	Inter	Exklusiv	253,67
21073	Interlloyd	Classic	104,49
21073	Interlloyd	EurosecurePlus	139,38
21073	Interlloyd	ProtectPlus	139,52
21073	Janitos	Balance	156,98
21073	Janitos	BestSelection	199,31
21073	Medien-Versicherung	Klassik	78,52
21073	Medien-Versicherung	Top	93,01
21073	Medien-Versicherung	Premium	105,09
21073	Oberösterreichische	DaHeim	170,13
21073	Oberösterreichische	DaHeim Premium	209,33
21073	Prokundo	Komfort+	133,48
21073	Prokundo	Exklusiv+	158,85
21073	Rhion	Standard	100,26
21073	Rhion	Plus	158,48
21073	Rhion	Premium	172,98
21073	Schleswiger	Klassik	114,76
21073	Schleswiger	Exklusiv	138,92
21073	Signal Iduna	Optimal	193,64
21073	Signal Iduna	Exklusiv	302,43
21073	Syncro	Platinum S	72,48
21073	Syncro	Platinum M	79,73
21073	Syncro	Platinum L	93,62
21073	VHV	Klassik-Garant	119,83
21073	VHV	Exklusiv	153,29
21073	VHV	Exklusiv mit Best-Leistungs-Garantie	176,28
21073	Volkswohl-Bund	Komfort	181,19
21073	Volkswohl-Bund	KomfortPlus	214,41
22089	Adcuri	Top	138,60
22089	Adcuri	Premium	174,91
22089	Allstern	1 Stern	126,84
22089	Allstern	2 Sterne	135,90
22089	Allstern	3 Sterne	144,96
22089	Ammerländer	Basic	36,24
22089	Ammerländer	Economic	45,30
22089	Ammerländer	Comfort	57,38
22089	Ammerländer	Exclusiv	66,44
22089	Ammerländer	Excellent	78,52
22089	ARAG	Basis	160,00
22089	ARAG	Komfort	202,40
22089	ARAG	Premium	260,00
22089	asspario	fair select	102,07
22089	asspario	best select	125,02
22089	asspario	top select	149,79
22089	Baden-Badener	Hausratversicherung	180,06
22089	BarmeniaDirekt	Kompakt-Schutz	87,68
22089	BarmeniaDirekt	Basis-Schutz	104,60
22089	BarmeniaDirekt	Top-Schutz	138,56
22089	BarmeniaDirekt	Premium-Schutz	174,86
22089	BavariaDirekt	Junge Leute	111,54
22089	BavariaDirekt	Einfach Sicher	123,38
22089	BavariaDirekt	Junge Leute Plus	123,38
22089	BGV / Badische Versicherungen	Basis	106,20
22089	BGV / Badische Versicherungen	Klassik	160,22
22089	BGV / Badische Versicherungen	Exklusiv	200,91
22089	DEVK	Komfort	138,32
22089	DEVK	Premium	159,04
22089	die Bayerische	Smart	120,30
22089	die Bayerische	Komfort	141,50
22089	die Bayerische	Prestige	160,50
22089	Die Haftpflichtkasse	Einfach Gut	114,76
22089	Die Haftpflichtkasse	Einfach Besser	138,92
22089	Die Haftpflichtkasse	Einfach Komplett	162,15
22089	DOCURA	SMART	89,99
22089	DOCURA	PROTECT	120,80
22089	ERGO	Hausratversicherung	212,00
22089	ERGO	Premium Hausratversicherung	259,21
